name,n,wr,avg,pf,comp,mdd
P28_mild_r1|b40|rk_score|noTP,55,41.81818181818182,0.34634,1.2825361463295974,15.332674320077011,-21.691742549871396
P02_tail_main|b0|rk_score|tp35,86,50.0,0.3025244186046512,1.2808196703616956,25.279425427701096,-20.30899931605835
P21_ql_clv|b0|rk_score|tp35,87,64.36781609195403,0.3084022988505747,1.280517856601438,25.960606369792714,-21.312248643565113
P18_ql_tight|b35|rk_score|tp3,33,63.63636363636363,0.26938787878787884,1.2804096786098433,8.046114887161227,-9.293517685773267
P20_ql_heima|b40|rk_score|tp35,47,61.702127659574465,0.29704468085106384,1.2782015566900609,12.81461986774648,-12.3608723816922
P01_tail_near|b35|rk_score|tp3,61,59.01639344262295,0.2960950819672131,1.2681152751099223,16.698673242483643,-16.650493489145546
P20_ql_heima|b0|rk_score|tp3,82,63.41463414634146,0.29016097560975607,1.2662107716388837,22.712521639535964,-19.249777546723045
P09_a2_loose|b35|rk_score|tp35,66,54.54545454545455,0.30989696969696967,1.2648863562779251,18.896615270898586,-12.518996507352377
P20_ql_heima|b35|rk_volr|tp35,53,60.37735849056604,0.28220377358490567,1.2626626626626627,13.720481691760455,-16.037462090131005
P19_ql_near|b40|rk_score|noTP,50,58.0,0.285656,1.2617987990409927,12.382252324818289,-13.63523957375773
P19_ql_near|b35|rk_score|tp4,57,59.64912280701754,0.2574666666666667,1.251948118835678,13.343005783710215,-10.88941919573717
P01_tail_near|b40|rk_score|noTP,53,50.943396226415096,0.2834698113207547,1.2306720302160261,12.309857495786591,-19.115268920320617
P18_ql_tight|b40|rk_score|tp4,29,58.62068965517241,0.24338275862068967,1.2216865275046955,5.939324841086457,-10.759397175935648
P01_tail_near|b40|rk_score|tp3,53,60.37735849056604,0.24774150943396225,1.2133714023852198,11.360977488253532,-16.650493489145525
P21_ql_clv|b0|rk_volr|tp35,87,63.2183908045977,0.2359632183908046,1.2117211470532119,18.38227263621286,-27.11777152138278
P19_ql_near|b0|rk_score|tp4,90,58.888888888888886,0.23701777777777774,1.2108659485438686,19.03084273950175,-19.91914681025787
P01_tail_near|b35|rk_volr|tp35,61,54.09836065573771,0.2548065573770492,1.2104328283443673,13.443830617568796,-20.669202752314263
P27_tight_clv65|b40|rk_score|noTP,63,47.61904761904762,0.26648888888888894,1.2061027469235832,12.737430633523728,-32.895614336135615
P02_tail_main|b0|rk_score|tp3,86,52.325581395348834,0.21850581395348836,1.2045678454596422,16.965516479021183,-22.373848029365263
P20_ql_heima|b35|rk_score|tp4,53,56.60377358490566,0.2235207547169811,1.203380344558229,10.17090821624691,-14.008150843609613
P27_tight_clv65|b40|rk_score|tp35,63,55.55555555555556,0.24414603174603178,1.1998765488249399,13.119972669581848,-27.622796494957424
P24_sweet_tight|b0|rk_score|noTP,95,34.73684210526316,0.2481978947368421,1.1970662545727464,17.747320094068876,-33.09626107097522
P00_tail_raw|b35|rk_volr|tp35,62,53.225806451612904,0.23805322580645163,1.1959735874560335,12.49755554695582,-21.256522022361978
P19_ql_near|b0|rk_score|noTP,90,56.666666666666664,0.22043666666666667,1.1884929721183974,16.02556039554164,-18.648666765788835
P09_a2_loose|b35|rk_volr|tp35,66,53.03030303030303,0.21592272727272727,1.1761893575985363,11.89241011105433,-14.87983518602569
P20_ql_heima|b0|rk_score|tp35,82,60.97560975609756,0.20415853658536584,1.1724958681773407,13.913999566107549,-21.312248643565113
P01_tail_near|b35|rk_r1|tp35,61,52.459016393442624,0.21263934426229508,1.1612305779987568,10.247817094879208,-15.570185388626035
P06_heima10|b0|rk_score|tp35,88,54.54545454545455,0.2081636363636364,1.16086184519032,14.64826216914783,-24.85413950240707
P05_tri_cross|b35|rk_volr|tp35,58,50.0,0.1763706896551724,1.1595201374778368,8.358103276953743,-11.918242580057537
P27_tight_clv65|b35|rk_score|noTP,71,45.070422535211264,0.2021535211267606,1.1561154999526855,9.630824354697843,-37.1397164012393
P18_ql_tight|b35|rk_volr|tp35,33,57.57575757575758,0.1574969696969697,1.1519547649954973,4.047755420499577,-9.139947956487394
P06_heima10|b0|rk_score|noTP,88,47.72727272727273,0.20834318181818184,1.149872233148754,12.580812932146923,-27.105721876369028
P27_tight_clv65|b40|rk_score|tp4,63,52.38095238095238,0.1878746031746032,1.1481785188032145,8.989662067016834,-29.842134763886808
P19_ql_near|b40|rk_score|tp4,50,58.0,0.160766,1.1473392672537046,6.2313291828205,-11.652708096847741
P06_heima10|b0|rk_score|tp3,88,57.95454545454545,0.16285568181818186,1.128749847275027,10.586004966554263,-25.817737915411332
P17_ql_core|b0|rk_score|tp35,103,59.22330097087379,0.1467621359223301,1.1266850201343408,11.339967617021696,-20.161237457203573
P07_heima_lite|b0|rk_score|tp35,88,53.40909090909091,0.1537318181818182,1.1171527391696674,9.32637850028244,-26.8185618731953
P20_ql_heima|b40|rk_score|tp4,47,55.319148936170215,0.13564042553191488,1.116853384754126,4.462048871367852,-15.540831376618126
P28_mild_r1|b35|rk_score|noTP,63,38.095238095238095,0.14375079365079363,1.1137606081770264,4.2037624813197505,-26.55064521946854
P27_tight_clv65|b35|rk_score|tp35,71,52.11267605633803,0.13952957746478875,1.113305304187902,6.8561651739504015,-32.200384618643916
P07_heima_lite|b0|rk_volr|tp35,88,53.40909090909091,0.1481943181818182,1.1129890000970375,8.853292021781801,-29.5892307866371
P01_tail_near|b35|rk_roc5|tp35,61,54.09836065573771,0.14482295081967214,1.1114340278566148,6.084647596824522,-15.546111533326235
P20_ql_heima|b0|rk_score|noTP,82,53.65853658536585,0.12092195121951223,1.0928739154828262,4.121937967410649,-24.503374284667366
P15_turn38|b35|rk_volr|tp35,49,48.97959183673469,0.09521836734693878,1.088009325891232,2.8809380988708,-22.65003978087551
P20_ql_heima|b0|rk_score|tp4,82,56.09756097560975,0.10672073170731707,1.0852320650448313,4.943734527816113,-20.547849095335515
P18_ql_tight|b40|rk_score|tp35,29,58.62068965517241,0.08821034482758622,1.0803468789064707,1.429396766546831,-10.759397175935682
P27_tight_clv65|b35|rk_score|tp4,71,49.29577464788732,0.09664084507042256,1.0759380056354488,3.4534220225952206,-34.27935802114701
P27_tight_clv65|b40|rk_score|tp3,63,57.142857142857146,0.09036349206349208,1.0742776621631318,3.016533470999283,-28.286207872285196
P02_tail_main|b0|rk_volr|tp35,86,50.0,0.08598372093023256,1.0714585976735804,3.732215191860888,-18.46941991602855
P08_cap10|b35|rk_score|tp35,63,49.20634920634921,0.09308095238095239,1.0708843591686943,2.878172391961309,-25.727210547920087
P18_ql_tight|b35|rk_score|noTP,33,51.515151515151516,0.06970000000000004,1.0654366998577525,0.7754425867035897,-13.437536091510239
P05_tri_cross|b0|rk_volr|tp35,84,47.61904761904762,0.06959285714285714,1.0599885478087936,2.6978944320132037,-16.75110158349
P18_ql_tight|b40|rk_score|tp3,29,62.06896551724138,0.06447586206896552,1.0593056374927843,0.8095642467575992,-9.293517685773278
P01_tail_near|b0|rk_score|tp4,94,48.93617021276596,0.0808244680851064,1.0575286204413443,2.3013575219500426,-26.44898738988036
P18_ql_tight|b35|rk_roc5|tp35,33,54.54545454545455,0.05652424242424244,1.050407927770166,0.5933326557839624,-16.61727608192003
P06_heima10|b0|rk_volr|tp35,88,53.40909090909091,0.0585011363636364,1.0417485050141024,0.302746342554272,-35.12007406465146
P05_tri_cross|b35|rk_score|tp35,58,48.275862068965516,0.03997068965517241,1.0348790149683529,0.1626440213732261,-16.46617887781887
P17_ql_core|b0|rk_volr|tp35,103,57.28155339805825,0.010448543689320394,1.0085010853457783,-3.2678339679803714,-33.012979075981676
P29_roc_cap|b35|rk_score|tp35,71,46.478873239436616,0.0030647887323943636,1.0023998297179648,-2.9385232455869437,-35.900847507179314
P20_ql_heima|b0|rk_volr|tp35,82,57.31707317073171,0.0001804878048780526,1.000136774253171,-3.8246946103994817,-27.687934631775178
P27_tight_clv65|b35|rk_score|tp3,71,53.521126760563384,-0.003967605633802803,0.9967666328446744,-3.1593343786804007,-32.821837701164604
P03_tight2|b0|rk_score|tp35,109,54.12844036697248,-0.010449541284403625,0.9936504113853307,-9.451940931637425,-35.507364573983466
P05_tri_cross|b0|rk_score|tp35,84,46.42857142857143,-0.024588095238095242,0.9793022864289379,-5.069465682257812,-22.31725040155772
P03_tight2|b0|rk_volr|tp35,109,52.293577981651374,-0.03912477064220178,0.976771508795246,-12.32331603352187,-28.964424030909907
P03_tight2|b35|rk_score|tp35,65,55.38461538461539,-0.03655538461538459,0.9756244684747162,-5.95738347791216,-33.352215765610005
P01_tail_near|b0|rk_score|tp35,94,48.93617021276596,-0.056212765957446786,0.9599893082708704,-9.640612102928925,-32.399009844491964
P00_tail_raw|b0|rk_score|tp35,96,47.916666666666664,-0.0684114583333333,0.9500544894682846,-10.739344787794714,-32.887143575641744
P29_roc_cap|b35|rk_volr|tp35,71,49.29577464788732,-0.06399295774647888,0.949969553387282,-7.391548693338834,-31.8799631369191
P10_ma60|b0|rk_score|tp35,103,48.54368932038835,-0.08479417475728154,0.9390269358553424,-13.004550648140489,-35.93564264967357
P09_a2_loose|b0|rk_score|tp35,106,49.056603773584904,-0.08557264150943394,0.9388590097811294,-13.429220831590417,-29.951562445146706
P18_ql_tight|b35|rk_r1|tp35,33,54.54545454545455,-0.07281212121212119,0.9383619274339189,-3.6129887734148824,-15.973132099297537
P18_ql_tight|b0|rk_score|tp4,49,55.10204081632653,-0.09975918367346936,0.9293996325695865,-7.284726516124973,-23.395795195542135
