n,per_day,hit_rate,win_rate,mean_pct,median_pct,pl_ratio,front_mean_pct,back_mean_pct,both_halves_positive,spike_mean_pct,spike_median_pct,label,k
43848,32.29,68.256,39.028,-0.1534,-0.4365,1.296,-0.3329,-0.0246,False,1.6763,0.9901,pct_chg≥2 & atr_pct≤2.5 & turnover≥1,3
1036259,763.08,73.71,43.94,-0.1534,-0.26,1.087,-0.1867,-0.1291,False,1.9105,1.2407,pct_chg≤5 & breadth≥55 & rsi6≤60,3
65578,48.29,73.081,39.852,-0.1535,-0.5157,1.311,-0.427,-0.0259,False,2.2475,1.2953,atr_pct≤3.5 & hhv60_pos≥0.95 & turnover≥3,3
95974,70.67,68.769,39.862,-0.1538,-0.3446,1.221,-0.2462,-0.0723,False,1.5057,0.9481,vol_ratio≥1.5 & atr_pct≤2.5 & turnover≤8,3
891423,656.42,77.949,44.43,-0.1538,-0.3347,1.1,-0.2065,-0.1132,False,2.426,1.6771,atr_pct≥3.5 & breadth≥55 & rsi6≤75,3
890846,656.0,75.514,42.279,-0.1538,-0.3563,1.177,-0.2543,-0.0849,False,2.1427,1.3425,ma20_bias≥0 & breadth≥55 & turnover≤15,3
118339,87.14,70.587,39.336,-0.1541,-0.3648,1.232,-0.1995,-0.1228,False,1.4775,0.9464,atr_pct≤2.5 & ma20_bias≥3,2
117678,86.66,70.598,39.313,-0.1543,-0.3642,1.231,-0.1937,-0.1272,False,1.4684,0.9452,pct_chg≤7 & atr_pct≤2.5 & ma20_bias≥3,3
121560,89.51,80.726,45.137,-0.1546,-0.3308,1.085,-0.3387,-0.051,False,2.8264,2.0134,atr_pct≥5 & ma20_bias≥3 & range_contract≤0.8,3
115094,84.75,70.633,39.282,-0.1547,-0.3612,1.227,-0.19,-0.1305,False,1.4494,0.9404,pct_chg≤5 & atr_pct≤2.5 & ma20_bias≥3,3
118082,86.95,70.566,39.325,-0.1549,-0.3652,1.231,-0.2005,-0.1235,False,1.4762,0.9458,pct_chg≥-3 & atr_pct≤2.5 & ma20_bias≥3,3
441485,325.1,79.733,46.328,-0.1549,-0.26,1.026,-0.2554,-0.08,False,2.5507,1.8258,pct_chg≥-3 & atr_pct≥5 & range_contract≤0.8,3
710472,523.18,73.676,43.399,-0.155,-0.26,1.102,-0.2159,-0.1146,False,1.8765,1.2107,breadth≥55 & range_contract≤0.8,2
394994,290.86,76.717,44.624,-0.155,-0.3308,1.089,-0.2821,-0.0581,False,2.3808,1.6752,clv≥0.7 & atr_pct≥3.5 & rsi6≤60,3
956618,704.43,73.569,42.23,-0.1553,-0.3656,1.171,-0.284,-0.0643,False,2.0605,1.295,clv≥0.7 & breadth≥45 & turnover≤15,3
167227,123.14,63.075,41.732,-0.1553,-0.26,1.035,-0.2362,-0.1111,False,1.0595,0.733,atr_pct≤2.5 & breadth≥55 & rsi6≤60,3
209797,154.49,73.252,40.443,-0.1556,-0.3876,1.23,-0.303,-0.0679,False,1.8199,1.108,atr_pct≤3.5 & hhv60_pos≥0.95 & turnover≥1,3
1254176,923.55,74.247,43.186,-0.1557,-0.26,1.116,-0.216,-0.1139,False,1.9442,1.25,breadth≥55 & range_contract≤1.2,2
22030,16.22,66.446,37.889,-0.1558,-0.4398,1.34,-0.3346,-0.0139,False,1.6077,0.9188,clv≥0.85 & vol_ratio≥1.5 & atr_pct≤2.5,3
510192,375.69,73.093,42.17,-0.156,-0.3702,1.176,-0.3412,-0.0368,False,2.079,1.2977,clv≥0.85 & pct_chg≥-3 & breadth≥45,3
195421,143.9,75.279,44.823,-0.1561,-0.26,1.092,-0.3081,-0.0283,False,2.3953,1.5894,vol_ratio≥1.5 & turnover≤15 & rsi6≤60,3
1047443,771.31,73.73,42.712,-0.1562,-0.3056,1.138,-0.2365,-0.103,False,1.965,1.2569,clv≥0.5 & pct_chg≤5 & breadth≥55,3
1495185,1101.02,74.367,43.331,-0.1563,-0.26,1.114,-0.2006,-0.1249,False,1.984,1.2781,pct_chg≤7 & breadth≥55 & rsi6≤75,3
510741,376.1,73.087,42.166,-0.1564,-0.3705,1.176,-0.3416,-0.0372,False,2.0799,1.298,clv≥0.85 & breadth≥45,2
709753,522.65,73.66,43.381,-0.1567,-0.26,1.1,-0.216,-0.1173,False,1.8736,1.2097,pct_chg≤7 & breadth≥55 & range_contract≤0.8,3
70078,51.6,78.19,45.77,-0.1567,-0.402,1.085,-0.3531,0.0146,False,3.2585,2.4469,vol_ratio≥1.5 & atr_pct≥5 & turnover≤8,3
405550,298.64,73.628,40.14,-0.1567,-0.4129,1.244,-0.2718,-0.071,False,1.8203,1.1478,atr_pct≤3.5 & ma20_bias≥3 & turnover≤15,3
481925,354.88,76.375,42.878,-0.1569,-0.3964,1.162,-0.253,-0.0854,False,2.3297,1.5528,pct_chg≥2 & pct_chg≤5 & breadth≥45,3
921136,678.3,77.729,44.144,-0.157,-0.3642,1.114,-0.2198,-0.1095,False,2.4792,1.6901,pct_chg≥-3 & atr_pct≥3.5 & breadth≥55,3
411385,302.93,75.851,43.288,-0.1571,-0.4609,1.167,-0.3748,-0.0464,False,2.7162,1.7595,clv≥0.5 & breadth≥55 & turnover≥3,3
200611,147.73,74.008,43.294,-0.1574,-0.26,1.113,-0.2497,-0.0916,False,1.9752,1.2552,pct_chg≤5 & vol_ratio≥1 & range_contract≤0.8,3
9531,7.02,71.325,42.493,-0.1577,-0.3826,1.172,-0.3884,-0.0006,False,2.1649,1.3177,clv≥0.5 & vol_ratio≥1.5 & range_contract≤0.8,3
666939,491.12,74.79,41.893,-0.1579,-0.3876,1.197,-0.3004,-0.0664,False,2.2174,1.3566,clv≥0.5 & ma20_bias≥0 & breadth≥55,3
313456,230.82,75.466,42.979,-0.1579,-0.26,1.117,-0.2608,-0.1007,False,1.9411,1.2609,ma20_bias≥0 & breadth≥55 & range_contract≤0.8,3
95322,70.19,70.12,40.21,-0.158,-0.421,1.253,-0.4473,0.0139,False,1.8729,1.1136,clv≥0.95 & atr_pct≤4.5 & ma20_bias≥0,3
735386,541.52,77.959,44.323,-0.1582,-0.3259,1.095,-0.2251,-0.1076,False,2.3479,1.6216,atr_pct≥3.5 & breadth≥55 & range_contract≤1.2,3
140183,103.23,73.843,40.652,-0.1583,-0.3405,1.212,-0.2805,-0.0741,False,1.8401,1.1204,hhv60_pos≥0.95 & breadth≥55 & range_contract≤1.2,3
705570,519.57,74.229,42.22,-0.1584,-0.4062,1.194,-0.2713,-0.0726,False,2.3157,1.4225,pct_chg≥0 & vol_ratio≥1 & breadth≥45,3
1047841,771.61,71.478,41.669,-0.1585,-0.3373,1.164,-0.2253,-0.1106,False,1.7343,1.0876,pct_chg≥0 & atr_pct≤4.5 & breadth≥45,3
41182,30.33,70.412,39.406,-0.1586,-0.6547,1.385,-0.6553,0.27,False,2.8753,1.5344,clv≥0.85 & vol_ratio≥1.5 & hhv60_pos≥0.95,3
244385,179.96,79.27,44.92,-0.1587,-0.4167,1.107,-0.3291,-0.0347,False,3.1007,2.2787,pct_chg≥2 & atr_pct≥5 & turnover≤15,3
1249719,920.26,74.211,43.148,-0.1588,-0.26,1.114,-0.2162,-0.119,False,1.9367,1.2461,pct_chg≤7 & breadth≥55 & range_contract≤1.2,3
859656,633.03,73.377,41.621,-0.1588,-0.3416,1.188,-0.2427,-0.0998,False,1.9624,1.1894,hhv60_pos≥0.85 & breadth≥55 & turnover≤15,3
1533685,1129.37,74.275,43.016,-0.159,-0.26,1.123,-0.2089,-0.1233,False,1.9543,1.2581,pct_chg≤5 & breadth≥55 & turnover≤15,3
279234,205.62,64.816,40.412,-0.1592,-0.26,1.119,-0.22,-0.1222,False,1.2009,0.7846,pct_chg≥0 & atr_pct≤2.5 & breadth≥45,3
1529969,1126.63,73.854,42.642,-0.1594,-0.3445,1.148,-0.2381,-0.1018,False,2.0388,1.2876,pct_chg≥0 & breadth≥45 & turnover≤15,3
613176,451.53,72.609,41.205,-0.1595,-0.3778,1.216,-0.2894,-0.074,False,2.0383,1.1986,clv≥0.5 & hhv60_pos≥0.85 & breadth≥55,3
459187,338.13,72.885,43.114,-0.1595,-0.26,1.107,-0.234,-0.1145,False,1.8658,1.2048,clv≥0.5 & breadth≥55 & range_contract≤0.8,3
241418,177.77,78.59,45.13,-0.1595,-0.41,1.098,-0.3333,-0.04,False,3.0988,2.2704,pct_chg≥2 & atr_pct≥5 & rsi6≤75,3
98920,72.84,68.67,39.737,-0.1595,-0.3589,1.221,-0.2524,-0.0789,False,1.5189,0.9501,vol_ratio≥1.5 & atr_pct≤2.5 & turnover≤15,3
928874,684.0,77.972,44.153,-0.1595,-0.3569,1.109,-0.2184,-0.1134,False,2.4405,1.68,atr_pct≥3.5 & breadth≥55 & turnover≤15,3
234415,172.62,79.606,43.991,-0.1597,-0.3461,1.11,-0.3065,-0.0659,False,2.4599,1.7031,atr_pct≥3.5 & ma20_bias≥3 & range_contract≤0.8,3
288208,212.23,72.625,43.031,-0.1598,-0.26,1.109,-0.2578,-0.1055,False,1.8625,1.2032,clv≥0.7 & breadth≥55 & range_contract≤0.8,3
136306,100.37,72.042,42.537,-0.1599,-0.2877,1.134,-0.3449,-0.0687,False,1.8721,1.1987,clv≥0.95 & pct_chg≤5 & breadth≥55,3
92101,67.82,69.814,38.76,-0.1601,-0.3991,1.26,-0.224,-0.1157,False,1.5106,0.9434,pct_chg≥0 & atr_pct≤2.5 & ma20_bias≥3,3
706135,519.98,73.604,43.327,-0.1601,-0.26,1.098,-0.2164,-0.1225,False,1.8651,1.2048,pct_chg≤5 & breadth≥55 & range_contract≤0.8,3
199447,146.87,74.163,41.623,-0.1604,-0.4897,1.236,-0.4491,0.0586,False,2.5381,1.6035,clv≥0.85 & pct_chg≥2 & vol_ratio≥1,3
308810,227.4,73.055,41.099,-0.1605,-0.4866,1.25,-0.2957,-0.0242,False,2.3067,1.4286,pct_chg≥0 & vol_ratio≥1.5 & turnover≤8,3
220630,162.47,68.533,40.256,-0.1605,-0.26,1.155,-0.2091,-0.1266,False,1.3605,0.8828,vol_ratio≥1 & atr_pct≤2.5 & ma20_bias≥0,3
